,x,z,y_rot,ind
10,-0.08354768,0.083477035,-4.564514,"[0.2637937052336672, 0.6662022442547082, -0.2249448103202858, 0.45156857425174146, -0.10323394178419765, 0.3525334829891007, -0.42981167389138664, -0.4734326025373057, 0.006906224344428891, 0.19247182628738724, -0.5381146877615346, 0.9658804208365628, -0.2604187649214109, 0.4772912614410665, -0.037771982746506616, 0.9501344746748197, 0.48049239029488744, 0.01067165543750015, 0.900606859304347, -0.7639563752821374, 0.8349763893123368, -0.621482441757472, 0.1620794238786818, 0.8358614063977698, 0.9456727629760775, 0.021516048316188252, -0.9345365796937226, 0.744602385657632, 0.6349876605436542, 0.8213172854962465, 0.6730194399173033, -0.9349773606143679, -0.1317205136597006, -0.7329466682935795, 0.5288562406264457, 0.03844094872251902]"
11,-0.08710516,0.08415761,-5.0002136,"[0.2637937052336672, 0.6662022442547082, -0.2249448103202858, 0.45156857425174146, -0.10323394178419765, 0.3525334829891007, -0.42981167389138664, -0.4734326025373057, 0.006906224344428891, 0.19247182628738724, -0.5381146877615346, 0.9658804208365628, -0.2604187649214109, 0.4772912614410665, -0.037771982746506616, 0.9501344746748197, 0.48049239029488744, 0.01067165543750015, 0.900606859304347, -0.7639563752821374, 0.8349763893123368, -0.621482441757472, 0.1620794238786818, 0.8358614063977698, 0.9456727629760775, 0.021516048316188252, -0.9345365796937226, 0.744602385657632, 0.6349876605436542, 0.8213172854962465, 0.6730194399173033, -0.9349773606143679, -0.1317205136597006, -0.7329466682935795, 0.5288562406264457, 0.03844094872251902]"
12,-0.08344969,0.08925481,-5.21109,"[0.2637937052336672, 0.6662022442547082, -0.2249448103202858, 0.45156857425174146, -0.10323394178419765, 0.3525334829891007, -0.42981167389138664, -0.4734326025373057, 0.006906224344428891, 0.19247182628738724, -0.5381146877615346, 0.9658804208365628, -0.2604187649214109, 0.4772912614410665, -0.037771982746506616, 0.9501344746748197, 0.48049239029488744, 0.01067165543750015, 0.900606859304347, -0.7639563752821374, 0.8349763893123368, -0.621482441757472, 0.1620794238786818, 0.8358614063977698, 0.9456727629760775, 0.021516048316188252, -0.9345365796937226, 0.744602385657632, 0.6349876605436542, 0.8213172854962465, 0.6730194399173033, -0.9349773606143679, -0.1317205136597006, -0.7329466682935795, 0.5288562406264457, 0.03844094872251902]"
13,-0.07915048,0.097021565,-5.497101,"[0.2637937052336672, 0.6662022442547082, -0.2249448103202858, 0.45156857425174146, -0.10323394178419765, 0.3525334829891007, -0.42981167389138664, -0.4734326025373057, 0.006906224344428891, 0.19247182628738724, -0.5381146877615346, 0.9658804208365628, -0.2604187649214109, 0.4772912614410665, -0.037771982746506616, 0.9501344746748197, 0.48049239029488744, 0.01067165543750015, 0.900606859304347, -0.7639563752821374, 0.8349763893123368, -0.621482441757472, 0.1620794238786818, 0.8358614063977698, 0.9456727629760775, 0.021516048316188252, -0.9345365796937226, 0.744602385657632, 0.6349876605436542, 0.8213172854962465, 0.6730194399173033, -0.9349773606143679, -0.1317205136597006, -0.7329466682935795, 0.5288562406264457, 0.03844094872251902]"
14,-0.07820658,0.09939377,-5.709076,"[0.2637937052336672, 0.6662022442547082, -0.2249448103202858, 0.45156857425174146, -0.10323394178419765, 0.3525334829891007, -0.42981167389138664, -0.4734326025373057, 0.006906224344428891, 0.19247182628738724, -0.5381146877615346, 0.9658804208365628, -0.2604187649214109, 0.4772912614410665, -0.037771982746506616, 0.9501344746748197, 0.48049239029488744, 0.01067165543750015, 0.900606859304347, -0.7639563752821374, 0.8349763893123368, -0.621482441757472, 0.1620794238786818, 0.8358614063977698, 0.9456727629760775, 0.021516048316188252, -0.9345365796937226, 0.744602385657632, 0.6349876605436542, 0.8213172854962465, 0.6730194399173033, -0.9349773606143679, -0.1317205136597006, -0.7329466682935795, 0.5288562406264457, 0.03844094872251902]"
15,-0.078153655,0.099699244,-6.005951,"[0.2637937052336672, 0.6662022442547082, -0.2249448103202858, 0.45156857425174146, -0.10323394178419765, 0.3525334829891007, -0.42981167389138664, -0.4734326025373057, 0.006906224344428891, 0.19247182628738724, -0.5381146877615346, 0.9658804208365628, -0.2604187649214109, 0.4772912614410665, -0.037771982746506616, 0.9501344746748197, 0.48049239029488744, 0.01067165543750015, 0.900606859304347, -0.7639563752821374, 0.8349763893123368, -0.621482441757472, 0.1620794238786818, 0.8358614063977698, 0.9456727629760775, 0.021516048316188252, -0.9345365796937226, 0.744602385657632, 0.6349876605436542, 0.8213172854962465, 0.6730194399173033, -0.9349773606143679, -0.1317205136597006, -0.7329466682935795, 0.5288562406264457, 0.03844094872251902]"
16,-0.07777612,0.098301485,-6.479492,"[0.2637937052336672, 0.6662022442547082, -0.2249448103202858, 0.45156857425174146, -0.10323394178419765, 0.3525334829891007, -0.42981167389138664, -0.4734326025373057, 0.006906224344428891, 0.19247182628738724, -0.5381146877615346, 0.9658804208365628, -0.2604187649214109, 0.4772912614410665, -0.037771982746506616, 0.9501344746748197, 0.48049239029488744, 0.01067165543750015, 0.900606859304347, -0.7639563752821374, 0.8349763893123368, -0.621482441757472, 0.1620794238786818, 0.8358614063977698, 0.9456727629760775, 0.021516048316188252, -0.9345365796937226, 0.744602385657632, 0.6349876605436542, 0.8213172854962465, 0.6730194399173033, -0.9349773606143679, -0.1317205136597006, -0.7329466682935795, 0.5288562406264457, 0.03844094872251902]"
17,-0.07832606,0.0982274,-6.570404,"[0.2637937052336672, 0.6662022442547082, -0.2249448103202858, 0.45156857425174146, -0.10323394178419765, 0.3525334829891007, -0.42981167389138664, -0.4734326025373057, 0.006906224344428891, 0.19247182628738724, -0.5381146877615346, 0.9658804208365628, -0.2604187649214109, 0.4772912614410665, -0.037771982746506616, 0.9501344746748197, 0.48049239029488744, 0.01067165543750015, 0.900606859304347, -0.7639563752821374, 0.8349763893123368, -0.621482441757472, 0.1620794238786818, 0.8358614063977698, 0.9456727629760775, 0.021516048316188252, -0.9345365796937226, 0.744602385657632, 0.6349876605436542, 0.8213172854962465, 0.6730194399173033, -0.9349773606143679, -0.1317205136597006, -0.7329466682935795, 0.5288562406264457, 0.03844094872251902]"
18,-0.078723185,0.09829539,-6.696472,"[0.2637937052336672, 0.6662022442547082, -0.2249448103202858, 0.45156857425174146, -0.10323394178419765, 0.3525334829891007, -0.42981167389138664, -0.4734326025373057, 0.006906224344428891, 0.19247182628738724, -0.5381146877615346, 0.9658804208365628, -0.2604187649214109, 0.4772912614410665, -0.037771982746506616, 0.9501344746748197, 0.48049239029488744, 0.01067165543750015, 0.900606859304347, -0.7639563752821374, 0.8349763893123368, -0.621482441757472, 0.1620794238786818, 0.8358614063977698, 0.9456727629760775, 0.021516048316188252, -0.9345365796937226, 0.744602385657632, 0.6349876605436542, 0.8213172854962465, 0.6730194399173033, -0.9349773606143679, -0.1317205136597006, -0.7329466682935795, 0.5288562406264457, 0.03844094872251902]"
19,-0.07919145,0.098075435,-6.8187256,"[0.2637937052336672, 0.6662022442547082, -0.2249448103202858, 0.45156857425174146, -0.10323394178419765, 0.3525334829891007, -0.42981167389138664, -0.4734326025373057, 0.006906224344428891, 0.19247182628738724, -0.5381146877615346, 0.9658804208365628, -0.2604187649214109, 0.4772912614410665, -0.037771982746506616, 0.9501344746748197, 0.48049239029488744, 0.01067165543750015, 0.900606859304347, -0.7639563752821374, 0.8349763893123368, -0.621482441757472, 0.1620794238786818, 0.8358614063977698, 0.9456727629760775, 0.021516048316188252, -0.9345365796937226, 0.744602385657632, 0.6349876605436542, 0.8213172854962465, 0.6730194399173033, -0.9349773606143679, -0.1317205136597006, -0.7329466682935795, 0.5288562406264457, 0.03844094872251902]"
20,-0.07996743,0.097697094,-6.9590454,"[0.2637937052336672, 0.6662022442547082, -0.2249448103202858, 0.45156857425174146, -0.10323394178419765, 0.3525334829891007, -0.42981167389138664, -0.4734326025373057, 0.006906224344428891, 0.19247182628738724, -0.5381146877615346, 0.9658804208365628, -0.2604187649214109, 0.4772912614410665, -0.037771982746506616, 0.9501344746748197, 0.48049239029488744, 0.01067165543750015, 0.900606859304347, -0.7639563752821374, 0.8349763893123368, -0.621482441757472, 0.1620794238786818, 0.8358614063977698, 0.9456727629760775, 0.021516048316188252, -0.9345365796937226, 0.744602385657632, 0.6349876605436542, 0.8213172854962465, 0.6730194399173033, -0.9349773606143679, -0.1317205136597006, -0.7329466682935795, 0.5288562406264457, 0.03844094872251902]"
21,-0.080865204,0.09735347,-7.1340637,"[0.2637937052336672, 0.6662022442547082, -0.2249448103202858, 0.45156857425174146, -0.10323394178419765, 0.3525334829891007, -0.42981167389138664, -0.4734326025373057, 0.006906224344428891, 0.19247182628738724, -0.5381146877615346, 0.9658804208365628, -0.2604187649214109, 0.4772912614410665, -0.037771982746506616, 0.9501344746748197, 0.48049239029488744, 0.01067165543750015, 0.900606859304347, -0.7639563752821374, 0.8349763893123368, -0.621482441757472, 0.1620794238786818, 0.8358614063977698, 0.9456727629760775, 0.021516048316188252, -0.9345365796937226, 0.744602385657632, 0.6349876605436542, 0.8213172854962465, 0.6730194399173033, -0.9349773606143679, -0.1317205136597006, -0.7329466682935795, 0.5288562406264457, 0.03844094872251902]"
22,-0.08163322,0.097338565,-7.317932,"[0.2637937052336672, 0.6662022442547082, -0.2249448103202858, 0.45156857425174146, -0.10323394178419765, 0.3525334829891007, -0.42981167389138664, -0.4734326025373057, 0.006906224344428891, 0.19247182628738724, -0.5381146877615346, 0.9658804208365628, -0.2604187649214109, 0.4772912614410665, -0.037771982746506616, 0.9501344746748197, 0.48049239029488744, 0.01067165543750015, 0.900606859304347, -0.7639563752821374, 0.8349763893123368, -0.621482441757472, 0.1620794238786818, 0.8358614063977698, 0.9456727629760775, 0.021516048316188252, -0.9345365796937226, 0.744602385657632, 0.6349876605436542, 0.8213172854962465, 0.6730194399173033, -0.9349773606143679, -0.1317205136597006, -0.7329466682935795, 0.5288562406264457, 0.03844094872251902]"
23,-0.08021652,0.0981684,-7.6982727,"[0.2637937052336672, 0.6662022442547082, -0.2249448103202858, 0.45156857425174146, -0.10323394178419765, 0.3525334829891007, -0.42981167389138664, -0.4734326025373057, 0.006906224344428891, 0.19247182628738724, -0.5381146877615346, 0.9658804208365628, -0.2604187649214109, 0.4772912614410665, -0.037771982746506616, 0.9501344746748197, 0.48049239029488744, 0.01067165543750015, 0.900606859304347, -0.7639563752821374, 0.8349763893123368, -0.621482441757472, 0.1620794238786818, 0.8358614063977698, 0.9456727629760775, 0.021516048316188252, -0.9345365796937226, 0.744602385657632, 0.6349876605436542, 0.8213172854962465, 0.6730194399173033, -0.9349773606143679, -0.1317205136597006, -0.7329466682935795, 0.5288562406264457, 0.03844094872251902]"
24,-0.07786633,0.09921573,-8.159912,"[0.2637937052336672, 0.6662022442547082, -0.2249448103202858, 0.45156857425174146, -0.10323394178419765, 0.3525334829891007, -0.42981167389138664, -0.4734326025373057, 0.006906224344428891, 0.19247182628738724, -0.5381146877615346, 0.9658804208365628, -0.2604187649214109, 0.4772912614410665, -0.037771982746506616, 0.9501344746748197, 0.48049239029488744, 0.01067165543750015, 0.900606859304347, -0.7639563752821374, 0.8349763893123368, -0.621482441757472, 0.1620794238786818, 0.8358614063977698, 0.9456727629760775, 0.021516048316188252, -0.9345365796937226, 0.744602385657632, 0.6349876605436542, 0.8213172854962465, 0.6730194399173033, -0.9349773606143679, -0.1317205136597006, -0.7329466682935795, 0.5288562406264457, 0.03844094872251902]"
25,-0.07521467,0.099807695,-8.641235,"[0.2637937052336672, 0.6662022442547082, -0.2249448103202858, 0.45156857425174146, -0.10323394178419765, 0.3525334829891007, -0.42981167389138664, -0.4734326025373057, 0.006906224344428891, 0.19247182628738724, -0.5381146877615346, 0.9658804208365628, -0.2604187649214109, 0.4772912614410665, -0.037771982746506616, 0.9501344746748197, 0.48049239029488744, 0.01067165543750015, 0.900606859304347, -0.7639563752821374, 0.8349763893123368, -0.621482441757472, 0.1620794238786818, 0.8358614063977698, 0.9456727629760775, 0.021516048316188252, -0.9345365796937226, 0.744602385657632, 0.6349876605436542, 0.8213172854962465, 0.6730194399173033, -0.9349773606143679, -0.1317205136597006, -0.7329466682935795, 0.5288562406264457, 0.03844094872251902]"
